Comb., Node, uX, uY, uZ, rotX, rotY , rotZ
LC1, 1112, 0, 0, 0, 0, 0, 0
LC1, 1745, 0, 0, 0, 0, 0, 0
LC1, 377, 0, 0, 0, 0, 0, 0
LC1, 1614, 0, 0, 0, 0, 0, 0
LC1, 1593, 0, 0, 0, 0, 0, 0
LC1, 1705, 0, 0, 0, 0, 0, 0
LC1, 1699, 0, 0, 0, 0, 0, 0
LC1, 1700, 0, 0, 0, 0, 0, 0
LC1, 1120, 0, 0, 0, 0, 0, 0
LC1, 1116, 0, 0, 0, 0, 0, 0
LC1, 1600, 0, 0, 0, 0, 0, 0
LC1, 1119, 0, 0, 0, 0, 0, 0
LC1, 1651, 0, 0, 0, 0, 0, 0
LC1, 1753, 0, 0, 0, 0, 0, 0
LC1, 1609, 0, 0, 0, 0, 0, 0
LC1, 1608, 0, 0, 0, 0, 0, 0
LC1, 1610, 0, 0, 0, 0, 0, 0
LC1, 309, 0, 0, 0, 0, 0, 0
LC1, 1660, 0, 0, 0, 0, 0, 0
LC1, 1602, 0, 0, 0, 0, 0, 0
LC1, 1108, 0, 0, 0, 0, 0, 0
LC1, 1637, 0, 0, 0, 0, 0, 0
LC1, 1729, 0, 0, 0, 0, 0, 0
LC1, 1763, 0, 0, 0, 0, 0, 0
LC1, 1635, 0, 0, 0, 0, 0, 0
LC1, 1681, 0, 0, 0, 0, 0, 0
LC1, 366, 0, 0, 0, 0, 0, 0
LC1, 367, 0, 0, 0, 0, 0, 0
LC1, 1682, 0, 0, 0, 0, 0, 0
LC1, 1676, 0, 0, 0, 0, 0, 0
LC1, 1677, 0, 0, 0, 0, 0, 0
LC1, 1575, 0, 0, 0, 0, 0, 0
LC1, 1121, 0, 0, 0, 0, 0, 0
LC1, 1783, 0, 0, 0, 0, 0, 0
LC1, 1718, 0, 0, 0, 0, 0, 0
LC1, 1601, 0, 0, 0, 0, 0, 0
LC1, 357, 0, 0, 0, 0, 0, 0
LC1, 358, 0, 0, 0, 0, 0, 0
LC1, 1698, 0, 0, 0, 0, 0, 0
LC1, 1665, 0, 0, 0, 0, 0, 0
LC1, 1727, 0, 0, 0, 0, 0, 0
LC1, 1708, 0, 0, 0, 0, 0, 0
LC1, 1607, 0, 0, 0, 0, 0, 0
LC1, 298, 0, 0, 0, 0, 0, 0
LC1, 299, 0, 0, 0, 0, 0, 0
LC1, 1752, 0, 0, 0, 0, 0, 0
LC1, 1670, 0, 0, 0, 0, 0, 0
LC1, 1680, 0, 0, 0, 0, 0, 0
LC1, 1589, 0, 0, 0, 0, 0, 0
LC1, 1760, 0, 0, 0, 0, 0, 0
LC1, 1664, 0, 0, 0, 0, 0, 0
LC1, 1683, 0, 0, 0, 0, 0, 0
LC1, 1622, 0, 0, 0, 0, 0, 0
LC1, 1572, 0, 0, 0, 0, 0, 0
LC1, 375, 0, 0, 0, 0, 0, 0
LC1, 1639, 0, 0, 0, 0, 0, 0
LC1, 1719, 0, 0, 0, 0, 0, 0
LC1, 1694, 0, 0, 0, 0, 0, 0
LC1, 1668, 0, 0, 0, 0, 0, 0
LC1, 1693, 0, 0, 0, 0, 0, 0
LC1, 347, 0, 0, 0, 0, 0, 0
LC1, 1657, 0, 0, 0, 0, 0, 0
LC1, 1576, 0, 0, 0, 0, 0, 0
LC1, 346, 0, 0, 0, 0, 0, 0
LC1, 1688, 0, 0, 0, 0, 0, 0
LC1, 341, 0, 0, 0, 0, 0, 0
LC1, 1580, 0, 0, 0, 0, 0, 0
LC1, 338, 0, 0, 0, 0, 0, 0
LC1, 339, 0, 0, 0, 0, 0, 0
LC1, 1721, 0, 0, 0, 0, 0, 0
LC1, 371, 0, 0, 0, 0, 0, 0
LC1, 372, 0, 0, 0, 0, 0, 0
LC1, 1761, 0, 0, 0, 0, 0, 0
LC1, 1590, 0, 0, 0, 0, 0, 0
LC1, 340, 0, 0, 0, 0, 0, 0
LC1, 1696, 0, 0, 0, 0, 0, 0
LC1, 1769, 0, 0, 0, 0, 0, 0
LC1, 351, 0, 0, 0, 0, 0, 0
LC1, 352, 0, 0, 0, 0, 0, 0
LC1, 1723, 0, 0, 0, 0, 0, 0
LC1, 1690, 0, 0, 0, 0, 0, 0
LC1, 320, 0, 0, 0, 0, 0, 0
LC1, 1710, 0, 0, 0, 0, 0, 0
LC1, 1786, 0, 0, 0, 0, 0, 0
LC1, 1636, 0, 0, 0, 0, 0, 0
LC1, 1712, 0, 0, 0, 0, 0, 0
LC1, 329, 0, 0, 0, 0, 0, 0
LC1, 1574, 0, 0, 0, 0, 0, 0
LC1, 315, 0, 0, 0, 0, 0, 0
LC1, 316, 0, 0, 0, 0, 0, 0
LC1, 1686, 0, 0, 0, 0, 0, 0
LC1, 1578, 0, 0, 0, 0, 0, 0
LC1, 1736, 0, 0, 0, 0, 0, 0
LC1, 332, 0, 0, 0, 0, 0, 0
LC1, 333, 0, 0, 0, 0, 0, 0
LC1, 319, 0, 0, 0, 0, 0, 0
LC1, 1730, 0, 0, 0, 0, 0, 0
LC1, 1715, 0, 0, 0, 0, 0, 0
LC1, 1714, 0, 0, 0, 0, 0, 0
LC1, 344, 0, 0, 0, 0, 0, 0
LC1, 1579, 0, 0, 0, 0, 0, 0
LC1, 1671, 0, 0, 0, 0, 0, 0
LC1, 343, 0, 0, 0, 0, 0, 0
LC1, 323, 0, 0, 0, 0, 0, 0
LC1, 324, 0, 0, 0, 0, 0, 0
LC1, 328, 0, 0, 0, 0, 0, 0
LC1, 327, 0, 0, 0, 0, 0, 0
LC1, 1716, 0, 0, 0, 0, 0, 0
LC1, 356, 0, 0, 0, 0, 0, 0
LC1, 1656, 0, 0, 0, 0, 0, 0
LC1, 1113, 0, 0, 0, 0, 0, 0
LC1, 1611, 0, 0, 0, 0, 0, 0
LC1, 1605, 0, 0, 0, 0, 0, 0
LC1, 376, 0, 0, 0, 0, 0, 0
LC1, 1654, 0, 0, 0, 0, 0, 0
LC1, 335, 0, 0, 0, 0, 0, 0
LC1, 314, 0, 0, 0, 0, 0, 0
LC1, 1122, 0, 0, 0, 0, 0, 0
LC1, 1751, 0, 0, 0, 0, 0, 0
LC1, 378, 0, 0, 0, 0, 0, 0
LC1, 1706, 0, 0, 0, 0, 0, 0
LC1, 317, 0, 0, 0, 0, 0, 0
LC1, 1724, 0, 0, 0, 0, 0, 0
LC1, 1588, 0, 0, 0, 0, 0, 0
LC1, 1728, 0, 0, 0, 0, 0, 0
LC1, 1725, 0, 0, 0, 0, 0, 0
LC1, 1711, 0, 0, 0, 0, 0, 0
LC1, 1573, 0, 0, 0, 0, 0, 0
LC1, 345, 0, 0, 0, 0, 0, 0
LC1, 1687, 0, 0, 0, 0, 0, 0
LC1, 1630, 0, 0, 0, 0, 0, 0
LC1, 1643, 0, 0, 0, 0, 0, 0
LC1, 354, 0, 0, 0, 0, 0, 0
LC1, 1709, 0, 0, 0, 0, 0, 0
LC1, 1776, 0, 0, 0, 0, 0, 0
LC1, 1775, 0, 0, 0, 0, 0, 0
LC1, 1777, 0, 0, 0, 0, 0, 0
LC1, 361, 0, 0, 0, 0, 0, 0
LC1, 1123, 0, 0, 0, 0, 0, 0
LC1, 373, 0, 0, 0, 0, 0, 0
LC1, 1667, 0, 0, 0, 0, 0, 0
LC1, 334, 0, 0, 0, 0, 0, 0
LC1, 1748, 0, 0, 0, 0, 0, 0
LC1, 1772, 0, 0, 0, 0, 0, 0
LC1, 1592, 0, 0, 0, 0, 0, 0
LC1, 306, 0, 0, 0, 0, 0, 0
LC1, 325, 0, 0, 0, 0, 0, 0
LC1, 1634, 0, 0, 0, 0, 0, 0
LC1, 370, 0, 0, 0, 0, 0, 0
LC1, 1645, 0, 0, 0, 0, 0, 0
LC1, 1128, 0, 0, 0, 0, 0, 0
LC1, 1697, 0, 0, 0, 0, 0, 0
LC1, 1662, 0, 0, 0, 0, 0, 0
LC1, 368, 0, 0, 0, 0, 0, 0
LC1, 301, 0, 0, 0, 0, 0, 0
LC1, 350, 0, 0, 0, 0, 0, 0
LC1, 1118, 0, 0, 0, 0, 0, 0
LC1, 360, 0, 0, 0, 0, 0, 0
LC1, 1778, 0, 0, 0, 0, 0, 0
LC1, 1773, 0, 0, 0, 0, 0, 0
LC1, 379, 0, 0, 0, 0, 0, 0
LC1, 1111, 0, 0, 0, 0, 0, 0
LC1, 1002, 0, 0, 0, 0, 0, 0
LC1, 4205, 0, 0, 0, 0, 0, 0
LC1, 4206, 0, 0, 0, 0, 0, 0
LC1, 4207, 0, 0, 0, 0, 0, 0
LC1, 4208, 0, 0, 0, 0, 0, 0
LC1, 4209, 0, 0, 0, 0, 0, 0
